Year,State,CO2(Metric Tons)
2000,Wisconsin,5161694.2
2000,Wyoming,9748085.263157895
2001,Alabama,10167705.677419355
2001,Alaska,842233.0909090909
2001,Arizona,7521441.92
2001,Arkansas,5179303.818181818
2001,California,5850040.979591837
2001,Colorado,6778470.56
2001,Connecticut,1574135.3103448276
2001,Delaware,1280729.2631578948
2001,District of Columbia,163811.0
2001,Florida,12054785.75609756
2001,Georgia,9579618.5
2001,Hawaii,1601122.0
2001,Idaho,231780.42105263157
2001,Illinois,10070515.027027028
2001,Indiana,13558193.371428572
2001,Iowa,5728170.75862069
2001,Kansas,11055952.923076924
2001,Kentucky,16097197.818181818
2001,Louisiana,6468218.588235294
2001,Maine,1073939.878787879
2001,Maryland,3618422.0
2001,Massachusetts,2754235.111111111
2001,Michigan,7996269.846153846
2001,Minnesota,4060882.222222222
2001,Mississippi,5044605.6
2001,Missouri,11232620.32
2001,Montana,3705147.0
2001,Nebraska,4290549.8
2001,Nevada,6437064.266666667
2001,New Hampshire,649365.0
2001,New Jersey,2742381.625
2001,New Mexico,5519471.130434782
2001,New York,6256747.58974359
2001,North Carolina,7703694.810810811
2001,North Dakota,9167116.285714285
2001,Ohio,12939973.18918919
2001,Oklahoma,6668702.714285715
2001,Oregon,1631043.8260869565
2001,Pennsylvania,10300794.636363637
2001,Rhode Island,918967.2
2001,South Carolina,4494727.625
2001,South Dakota,1980824.5
2001,Tennessee,8558564.137931034
2001,Texas,24354034.38095238
2001,Utah,5718589.391304348
2001,Vermont,14506.333333333334
2001,Virginia,4289348.0
2001,Washington,1742463.888888889
2001,West Virginia,10438126.344827587
2001,Wisconsin,5108096.512820513
2001,Wyoming,10899326.588235294
2002,Alabama,10791677.2
2002,Alaska,685266.9230769231
2002,Arizona,7077897.538461538
2002,Arkansas,4976218.363636363
2002,California,4899466.6122448975
2002,Colorado,7239188.521739131
2002,Connecticut,1660958.24
2002,Delaware,1277872.0
2002,District of Columbia,264116.0
2002,Florida,12543357.9
2002,Georgia,10335389.5
2002,Hawaii,1699455.8181818181
2002,Idaho,171856.44444444444
2002,Illinois,9959406.666666666
2002,Indiana,13345902.628571428
2002,Iowa,6160475.111111111
2002,Kansas,12066934.461538462
2002,Kentucky,15322465.391304348
2002,Louisiana,6929436.625
2002,Maine,1135563.7777777778
2002,Maryland,4066531.870967742
2002,Massachusetts,2893034.285714286
2002,Michigan,7715415.179487179
2002,Minnesota,4597454.666666667
2002,Mississippi,3362549.4285714286
2002,Missouri,11348734.72
2002,Montana,3206684.1904761903
2002,Nebraska,4160401.6
2002,Nevada,6081208.571428572
2002,New Hampshire,657732.4285714285
2002,New Jersey,2769083.625
2002,New Mexico,5386914.363636363
2002,New York,5488887.317073171
2002,North Carolina,7935795.243243244
2002,North Dakota,8111091.5
2002,Ohio,13825754.666666666
2002,Oklahoma,6981908.285714285
2002,Oregon,1201947.0
2002,Pennsylvania,10665768.888888888
2002,Rhode Island,619681.8
2002,South Carolina,5279601.857142857
2002,South Dakota,1150761.3333333333
2002,Tennessee,8248709.24137931
2002,Texas,24609341.714285713
2002,Utah,6440297.714285715
2002,Vermont,5052.0
2002,Virginia,4711544.2
2002,Washington,1539884.8484848484
2002,West Virginia,12506630.285714285
2002,Wisconsin,4960356.9
2002,Wyoming,9532073.05263158
2003,Alabama,10160681.875
2003,Alaska,637680.64
2003,Arizona,7876567.333333333
2003,Arkansas,4098860.888888889
2003,California,4596604.897959184
2003,Colorado,6862980.0
2003,Connecticut,1482856.923076923
2003,Delaware,1228851.4782608696
2003,District of Columbia,82884.0
2003,Florida,11819120.363636363
2003,Georgia,10031911.125
2003,Hawaii,1590915.2727272727
2003,Idaho,234521.68421052632
2003,Illinois,10424106.918918919
2003,Indiana,12427230.210526315
2003,Iowa,6610274.88
2003,Kansas,12039338.76923077
2003,Kentucky,15722318.909090908
2003,Louisiana,6841210.666666667
2003,Maine,862827.6666666666
2003,Maryland,3878572.8235294116
2003,Massachusetts,3326039.878787879
2003,Michigan,7419225.5
2003,Minnesota,4358230.054054054
2003,Mississippi,3782034.56
2003,Missouri,12312325.12
2003,Montana,3300852.695652174
2003,Nebraska,4143578.476190476
2003,Nevada,5815532.75
2003,New Hampshire,1180281.5384615385
2003,New Jersey,2629776.3870967743
2003,New Mexico,5761560.363636363
2003,New York,5895636.615384615
2003,North Carolina,7457782.871794872
2003,North Dakota,7118496.222222222
2003,Ohio,14343568.0
2003,Oklahoma,7033608.857142857
2003,Oregon,1266866.7142857143
2003,Pennsylvania,10470247.826086957
2003,Rhode Island,567664.0
2003,South Carolina,4629430.625
2003,South Dakota,1237427.6666666667
2003,Tennessee,7530792.8
2003,Texas,24541032.0
2003,Utah,6954616.2
2003,Vermont,10286.0
2003,Virginia,4437367.523809524
2003,Washington,1794945.5294117648
2003,West Virginia,11938558.344827587
2003,Wisconsin,4798500.195121951
2003,Wyoming,10246507.333333334
2004,Alabama,9294610.628571428
2004,Alaska,868635.0909090909
2004,Arizona,9199997.739130436
2004,Arkansas,4437542.769230769
2004,California,5014132.083333333
2004,Colorado,6588871.2
2004,Connecticut,1600930.1538461538
2004,Delaware,1146725.043478261
2004,District of Columbia,56473.0
2004,Florida,12487545.523809524
2004,Georgia,10031731.272727273
2004,Hawaii,1533761.5
2004,Idaho,275523.15789473685
2004,Illinois,10546118.974358974
2004,Indiana,13055945.297297297
2004,Iowa,6204933.037037037
2004,Kansas,11803274.76923077
2004,Kentucky,15340773.391304348
2004,Louisiana,7369805.125
2004,Maine,821074.5555555555
2004,Maryland,3923291.757575758
2004,Massachusetts,3285621.875
2004,Michigan,6832308.869565218
2004,Minnesota,3995285.128205128
2004,Mississippi,4094572.8
2004,Missouri,11571968.296296297
2004,Montana,3568232.3636363638
2004,Nebraska,4267447.4
2004,Nevada,5601931.333333333
2004,New Hampshire,1268543.076923077
2004,New Jersey,2772699.6129032257
2004,New Mexico,7479079.05882353
2004,New York,6115890.947368421
2004,North Carolina,7716168.631578947
2004,North Dakota,6812712.666666667
2004,Ohio,13130941.789473685
2004,Oklahoma,6805373.714285715
2004,Oregon,1233647.6
2004,Pennsylvania,10469087.40425532
2004,Rhode Island,564775.7333333333
2004,South Carolina,4899390.545454546
2004,South Dakota,1315593.3333333333
2004,Tennessee,7907741.866666666
2004,Texas,23583191.09090909
2004,Utah,6458577.2727272725
2004,Vermont,7265.0
2004,Virginia,4980073.684210527
2004,Washington,1687171.888888889
2004,West Virginia,12296042.814814815
2004,Wisconsin,4939809.463414635
2004,Wyoming,9849125.47368421
2005,Alabama,10606562.0
2005,Alaska,727328.3333333334
2005,Arizona,8320540.96
2005,Arkansas,4119168.4615384615
2005,California,4583233.333333333
2005,Colorado,6132927.111111111
